title,nps_link,date_created,area,lat,long,activity_link,activity_str
Grand Canyon,https://www.nps.gov/grca/index.htm,2/26/19,1201647.03 acres (4862.9 km2),36.06,-112.14,"['https://www.nps.gov/grca/planyourvisit/basicinfo.htm', 'https://www.nps.gov/grca/planyourvisit/maps.htm', 'https://www.nps.gov/grca/planyourvisit/calendar.htm', 'https://www.nps.gov/grca/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/grca/planyourvisit/conditions.htm', 'https://www.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm', 'https://www.nps.gov/grca/planyourvisit/north-rim.htm', 'https://www.nps.gov/grca/planyourvisit/weather-condition.htm', 'https://www.nps.gov/grca/planyourvisit/the-trail-of-time.htm', 'https://www.nps.gov/grca/planyourvisit/verkamps.htm', 'https://www.nps.gov/grca/planyourvisit/backcountry.htm', 'https://www.nps.gov/grca/planyourvisit/photography.htm', 'https://www.nps.gov/grca/planyourvisit/wildlifephotography.htm', 'https://www.nps.gov/grca/planyourvisit/bicycling.htm', 'https://www.nps.gov/grca/planyourvisit/mule_trips.htm', 'https://www.nps.gov/grca/planyourvisit/desert-view-drive.htm', 'https://www.nps.gov/grca/planyourvisit/hermit-red-route.htm', 'https://www.nps.gov/grca/planyourvisit/hermit-road.htm', 'https://www.nps.gov/grca/planyourvisit/visitorcenters.htm', 'https://www.nps.gov/grca/planyourvisit/bookgift_srim.htm', 'https://www.nps.gov/grca/planyourvisit/guidedtours.htm', 'https://www.nps.gov/grca/planyourvisit/one-day-river-trip.htm', 'https://www.nps.gov/grca/planyourvisit/whitewater-rafting.htm', 'https://www.nps.gov/grca/planyourvisit/sr-programs.htm', 'https://www.nps.gov/grca/planyourvisit/dv-programs.htm', 'https://www.nps.gov/grca/planyourvisit/desert-view.htm', 'https://www.nps.gov/grca/planyourvisit/desert-view-cultural-demonstrator-schedule2.htm', 'https://www.nps.gov/grca/planyourvisit/nr-programs.htm', 'https://www.nps.gov/grca/planyourvisit/traveling-green.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'grand-canyon-national-park-public-health-update', 'north-rim', 'weather-condition', 'the-trail-of-time', 'verkamps', 'backcountry', 'photography', 'wildlifephotography', 'bicycling', 'mule_trips', 'desert-view-drive', 'hermit-red-route', 'hermit-road', 'visitorcenters', 'bookgift_srim', 'guidedtours', 'one-day-river-trip', 'whitewater-rafting', 'sr-programs', 'dv-programs', 'desert-view', 'desert-view-cultural-demonstrator-schedule2', 'nr-programs', 'traveling-green']"
Grand Teton,https://www.nps.gov/grte/index.htm,2/26/29,310044.36 acres (1254.7 km2),43.73,-110.8,"['https://www.nps.gov/grte/planyourvisit/basicinfo.htm', 'https://www.nps.gov/grte/planyourvisit/maps.htm', 'https://www.nps.gov/grte/planyourvisit/calendar.htm', 'https://www.nps.gov/grte/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/grte/planyourvisit/conditions.htm', 'https://www.nps.gov/grte/planyourvisit/visitorcenters.htm', 'https://www.nps.gov/grte/planyourvisit/ranger-programs.htm', 'https://www.nps.gov/grte/planyourvisit/hike.htm', 'https://www.nps.gov/grte/planyourvisit/back.htm', 'https://www.nps.gov/grte/planyourvisit/climb.htm', 'https://www.nps.gov/grte/planyourvisit/boat.htm', 'https://www.nps.gov/grte/planyourvisit/fish.htm', 'https://www.nps.gov/grte/planyourvisit/camping.htm', 'https://www.nps.gov/grte/planyourvisit/wildview.htm', 'https://www.nps.gov/grte/planyourvisit/drives.htm', 'https://www.nps.gov/grte/planyourvisit/bike.htm', 'https://www.nps.gov/grte/planyourvisit/concessions.htm', 'https://www.nps.gov/grte/planyourvisit/nearbyattractions.htm', 'https://www.nps.gov/grte/planyourvisit/index.htm', 'https://www.nps.gov/grte/planyourvisit/nps-grand-teton-app.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'visitorcenters', 'ranger-programs', 'hike', 'back', 'climb', 'boat', 'fish', 'camping', 'wildview', 'drives', 'bike', 'concessions', 'nearbyattractions', 'index', 'nps-grand-teton-app']"
Great Basin,https://www.nps.gov/grba/index.htm,10/27/86,77180.00 acres (312.3 km2),38.98,-114.3,"['https://www.nps.gov/grba/planyourvisit/basicinfo.htm', 'https://www.nps.gov/grba/planyourvisit/maps.htm', 'https://www.nps.gov/grba/planyourvisit/calendar.htm', 'https://www.nps.gov/grba/planyourvisit/permits.htm', 'https://www.nps.gov/grba/planyourvisit/conditions.htm', 'https://www.nps.gov/grba/planyourvisit/things2know.htm', 'https://www.nps.gov/grba/planyourvisit/hiking-information.htm', 'https://www.nps.gov/grba/planyourvisit/rangerprograms.htm', 'https://www.nps.gov/grba/planyourvisit/picnic-areas.htm', 'https://www.nps.gov/grba/planyourvisit/great-basin-night-sky.htm', 'https://www.nps.gov/grba/planyourvisit/site-bulletins.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'things2know', 'hiking-information', 'rangerprograms', 'picnic-areas', 'great-basin-night-sky', 'site-bulletins']"
Great Sand Dunes,https://www.nps.gov/grsa/index.htm,9/13/04,107341.87 acres (434.4 km2),37.73,-105.51,[],[]
Great Smoky Mountains,https://www.nps.gov/grsm/index.htm,6/15/34,522426.88 acres (2114.2 km2),35.68,-83.53,"['https://www.nps.gov/grsm/planyourvisit/basicinfo.htm', 'https://www.nps.gov/grsm/planyourvisit/maps.htm', 'https://www.nps.gov/grsm/planyourvisit/calendar.htm', 'https://www.nps.gov/grsm/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/grsm/planyourvisit/conditions.htm', 'https://www.nps.gov/grsm/planyourvisit/wildlifeviewing.htm', 'https://www.nps.gov/grsm/planyourvisit/fishing.htm', 'https://www.nps.gov/grsm/planyourvisit/hiking.htm', 'https://www.nps.gov/grsm/planyourvisit/waterfalls.htm', 'https://www.nps.gov/grsm/planyourvisit/trip-planner.htm', 'https://www.nps.gov/grsm/planyourvisit/autotouring.htm', 'https://www.nps.gov/grsm/planyourvisit/biking.htm', 'https://www.nps.gov/grsm/planyourvisit/burial_landscape.htm', 'https://www.nps.gov/grsm/planyourvisit/carcamping.htm', 'https://www.nps.gov/grsm/planyourvisit/fallcolor.htm', 'https://www.nps.gov/grsm/planyourvisit/historicbuildings.htm', 'https://www.nps.gov/grsm/planyourvisit/horseriding.htm', 'https://www.nps.gov/grsm/planyourvisit/picnic.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'wildlifeviewing', 'fishing', 'hiking', 'waterfalls', 'trip-planner', 'autotouring', 'biking', 'burial_landscape', 'carcamping', 'fallcolor', 'historicbuildings', 'horseriding', 'picnic']"
Guadalupe Mountains,https://www.nps.gov/gumo/index.htm,10/15/66,86367.10 acres (349.5 km2),31.92,-104.87,"['https://www.nps.gov/gumo/planyourvisit/basicinfo.htm', 'https://www.nps.gov/gumo/planyourvisit/maps.htm', 'https://www.nps.gov/gumo/planyourvisit/calendar.htm', 'https://www.nps.gov/gumo/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/gumo/planyourvisit/conditions.htm', 'https://www.nps.gov/gumo/planyourvisit/camping.htm', 'https://www.nps.gov/gumo/planyourvisit/hiking.htm', 'https://www.nps.gov/gumo/planyourvisit/backpacking.htm', 'https://www.nps.gov/gumo/planyourvisit/birding.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'camping', 'hiking', 'backpacking', 'birding']"
Haleakala,https://www.nps.gov/hale/index.htm,7/1/61,33264.62 acres (134.6 km2),20.72,-156.17,"['https://www.nps.gov/hale/planyourvisit/basicinfo.htm', 'https://www.nps.gov/hale/planyourvisit/maps.htm', 'https://www.nps.gov/hale/planyourvisit/calendar.htm', 'https://www.nps.gov/hale/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/hale/planyourvisit/conditions.htm', 'https://www.nps.gov/hale/planyourvisit/wilderness-area.htm', 'https://www.nps.gov/hale/planyourvisit/summit-area.htm', 'https://www.nps.gov/hale/planyourvisit/kipahulu.htm', 'https://www.nps.gov/hale/planyourvisit/skywatching.htm', 'https://www.nps.gov/hale/planyourvisit/guided-activities.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'wilderness-area', 'summit-area', 'kipahulu', 'skywatching', 'guided-activities']"
Hawaii Volcanoes,https://www.nps.gov/havo/index.htm,8/1/16,325605.28 acres (1317.7 km2),19.38,-155.2,"['https://www.nps.gov/havo/planyourvisit/basicinfo.htm', 'https://www.nps.gov/havo/planyourvisit/maps.htm', 'https://www.nps.gov/havo/planyourvisit/calendar.htm', 'https://www.nps.gov/havo/planyourvisit/permits.htm', 'https://www.nps.gov/havo/planyourvisit/conditions.htm', 'https://www.nps.gov/havo/planyourvisit/hikes_day.htm', 'https://www.nps.gov/havo/planyourvisit/hike_bc.htm', 'https://www.nps.gov/havo/planyourvisit/craterrimtour.htm', 'https://www.nps.gov/havo/planyourvisit/ccr_tour.htm', 'https://www.nps.gov/havo/planyourvisit/kahuku.htm', 'https://www.nps.gov/havo/planyourvisit/summit_stewardship.htm', 'https://www.nps.gov/havo/planyourvisit/attend-a-ranger-program.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'hikes_day', 'hike_bc', 'craterrimtour', 'ccr_tour', 'kahuku', 'summit_stewardship', 'attend-a-ranger-program']"
Hot Springs,https://www.nps.gov/hosp/index.htm,3/4/21,5554.15 acres (22.5 km2),34.51,-93.05,"['https://www.nps.gov/hosp/planyourvisit/basicinfo.htm', 'https://www.nps.gov/hosp/planyourvisit/maps.htm', 'https://www.nps.gov/hosp/planyourvisit/calendar.htm', 'https://www.nps.gov/hosp/planyourvisit/permits.htm', 'https://www.nps.gov/hosp/planyourvisit/conditions.htm', 'https://www.nps.gov/hosp/planyourvisit/fordyce-bathhouse.htm', 'https://www.nps.gov/hosp/planyourvisit/thermal-springs.htm', 'https://www.nps.gov/hosp/planyourvisit/trails.htm', 'https://www.nps.gov/hosp/planyourvisit/photography.htm', 'https://www.nps.gov/hosp/planyourvisit/biking.htm', 'https://www.nps.gov/hosp/planyourvisit/guidedtours.htm', 'https://www.nps.gov/hosp/planyourvisit/pets.htm', 'https://www.nps.gov/hosp/planyourvisit/campground.htm', 'https://www.nps.gov/hosp/planyourvisit/picnic-in-the-park.htm', 'https://www.nps.gov/hosp/planyourvisit/soak-in-the-springs.htm', 'https://www.nps.gov/hosp/planyourvisit/scenic-overlooks.htm', 'https://www.nps.gov/hosp/planyourvisit/eating-sleeping.htm', 'https://www.nps.gov/hosp/planyourvisit/shopping.htm']","['basicinfo', 'maps', 'calendar', 'permits', 'conditions', 'fordyce-bathhouse', 'thermal-springs', 'trails', 'photography', 'biking', 'guidedtours', 'pets', 'campground', 'picnic-in-the-park', 'soak-in-the-springs', 'scenic-overlooks', 'eating-sleeping', 'shopping']"
Indiana Dunes,https://www.nps.gov/indu/index.htm,2/15/19,15349.08 acres (62.1 km2),41.648056,-87.108056,"['https://www.nps.gov/indu/planyourvisit/basicinfo.htm', 'https://www.nps.gov/indu/planyourvisit/maps.htm', 'https://www.nps.gov/indu/planyourvisit/calendar.htm', 'https://www.nps.gov/indu/planyourvisit/permitsandreservations.htm', 'https://www.nps.gov/indu/planyourvisit/conditions.htm', 'https://www.nps.gov/indu/planyourvisit/idnlvc.htm', 'https://www.nps.gov/indu/planyourvisit/biking.htm', 'https://www.nps.gov/indu/planyourvisit/birdwatching.htm', 'https://www.nps.gov/indu/planyourvisit/campgrounds.htm', 'https://www.nps.gov/indu/planyourvisit/hiking.htm', 'https://www.nps.gov/indu/planyourvisit/horse.htm', 'https://www.nps.gov/indu/planyourvisit/picnic.htm', 'https://www.nps.gov/indu/planyourvisit/winteractivities.htm', 'https://www.nps.gov/indu/planyourvisit/guidedtours.htm']","['basicinfo', 'maps', 'calendar', 'permitsandreservations', 'conditions', 'idnlvc', 'biking', 'birdwatching', 'campgrounds', 'hiking', 'horse', 'picnic', 'winteractivities', 'guidedtours']"
